id,title,ratingCount
1,Cowboy Bebop,481187
5,Cowboy Bebop: Tengoku no Tobira,135971
6,Trigun,238947
15,Eyeshield 21,57723
16,Hachimitsu to Clover,61386
18,Initial D Fourth Stage,51863
19,Monster,155992
20,Naruto,865621
21,One Piece,559725
22,Tennis no Ouji-sama,54499
24,School Rumble,113351
27,Trinity Blood,64386
30,Neon Genesis Evangelion,495449
31,Neon Genesis Evangelion: Death & Rebirth,84019
32,Neon Genesis Evangelion: The End of Evangelion,270152
33,Kenpuu Denki Berserk,190252
43,Koukaku Kidoutai,222184
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,104250
45,Rurouni Kenshin: Meiji Kenkaku Romantan,158687
47,Akira,260181
48,.hack//Sign,66816
50,Aa! Megami-sama! (TV),62207
53,Ai Yori Aoshi,42782
57,Beck,99748
59,Chobits,194251
60,Chrno Crusade,85290
61,D.N.Angel,81582
63,DearS,64708
64,Rozen Maiden,80412
65,Rozen Maiden: Träumend,50559
66,Azumanga Daioh,108018
67,Basilisk: Kouga Ninpou Chou,61075
68,Black Cat,99882
71,Full Metal Panic!,189327
72,Full Metal Panic? Fumoffu,142319
73,Full Metal Panic! The Second Raid,122468
79,Shuffle!,107519
90,Mobile Suit Gundam Wing,66864
93,Mobile Suit Gundam SEED,72496
94,Mobile Suit Gundam SEED Destiny,50365
97,Last Exile,58198
98,Mai-HiME,43904
101,Air,126491
102,Aishiteruze Baby★★,43057
120,Fruits Basket,194379
121,Fullmetal Alchemist,588751
132,GetBackers,40787
133,Green Green,57173
134,Gunslinger Girl,61218
135,Hikaru no Go,45155
136,Hunter x Hunter,150685
137,Hunter x Hunter: Yorkshin City Kanketsu-hen,47882
138,Hunter x Hunter: Greed Island,54200
139,Hunter x Hunter: Greed Island Final,52214
145,Kareshi Kanojo no Jijou,55063
147,Kimi ga Nozomu Eien,57131
149,Loveless,55331
150,Blood+,119547
154,Shaman King,138363
157,Mahou Sensei Negima!,50336
164,Mononoke Hime,432694
166,Samurai 7,48984
169,Shingetsutan Tsukihime,56414
170,Slam Dunk,70751
174,Tenjou Tenge,71256
177,Tsubasa Chronicle,76265
182,Tenkuu no Escaflowne,51652
185,Initial D First Stage,86547
186,Initial D Second Stage,64640
187,Initial D Third Stage,54843
189,Love Hina,109421
190,Love Hina Again,45467
195,Onegai☆Teacher,75181
196,Onegai☆Twins,41951
199,Sen to Chihiro no Kamikakushi,652386
202,Wolf's Rain,101232
205,Samurai Champloo,374893
210,Ranma ½,70623
223,Dragon Ball,365772
225,Dragon Ball GT,256122
226,Elfen Lied,607254
227,FLCL,281588
228,Jigoku Shoujo,95262
232,Cardcaptor Sakura,142186
235,Detective Conan,96754
237,Koukyoushihen Eureka Seven,142719
239,Gankutsuou,51336
240,Genshiken,58513
241,Girls Bravo: First Season,56647
243,Gravitation,49835
245,Great Teacher Onizuka,233794
248,Ichigo 100%,44256
249,InuYasha (TV),219094
256,Hoshi no Koe,63854
257,Ikkitousen,54753
263,Hajime no Ippo,151520
264,Hajime no Ippo: Champion Road,50993
265,Hajime no Ippo: Mashiba vs. Kimura,41810
267,Gungrave,53241
268,Golden Boy,114684
269,Bleach,529862
270,Hellsing,255169
288,Bakuten Shoot Beyblade,46646
317,Final Fantasy VII: Advent Children,122752
322,Paradise Kiss,60090
323,Mousou Dairinin,93994
329,Planetes,54501
330,Midori no Hibi,68137
339,Serial Experiments Lain,150419
355,Shakugan no Shana,202915
356,Fate/stay night,334764
357,Bokusatsu Tenshi Dokuro-chan,88521
371,Cardcaptor Sakura Movie 1,45395
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,51801
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",92953
384,Gantz,127637
387,Haibane Renmei,70548
390,Suzuka,43682
392,Yuu☆Yuu☆Hakusho,174459
395,Gantz 2nd Stage,74848
400,Seihou Bukyou Outlaw Star,48330
405,Blood: The Last Vampire,48898
416,Kurenai no Buta,80368
430,Fullmetal Alchemist: The Conqueror of Shamballa,163340
431,Howl no Ugoku Shiro,429309
433,"Kumo no Mukou, Yakusoku no Basho",71116
437,Perfect Blue,139203
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,111816
450,InuYasha Movie 2: Kagami no Naka no Mugenjo,41971
457,Mushishi,177447
459,One Piece Movie 1,40736
467,Koukaku Kidoutai: Stand Alone Complex,125458
468,Koukaku Kidoutai 2: Innocence,69080
469,Karin,73125
481,Yu☆Gi☆Oh! Duel Monsters,143349
482,Yu☆Gi☆Oh!: Duel Monsters GX,76772
486,Kino no Tabi: The Beautiful World,62632
487,Girls Bravo: Second Season,40167
512,Majo no Takkyuubin,181955
513,Tenkuu no Shiro Laputa,166050
523,Tonari no Totoro,347524
527,Pokemon,212737
528,Pokemon Movie 01: Mewtwo no Gyakushuu,107042
530,Bishoujo Senshi Sailor Moon,112260
532,Bishoujo Senshi Sailor Moon S,52148
534,Slayers,47689
543,Vampire Hunter D (2000),60107
550,Yu☆Gi☆Oh!,83572
552,Digimon Adventure,177456
570,Jin-Rou,49795
572,Kaze no Tani no Nausicaä,144150
578,Hotaru no Haka,196610
585,Mimi wo Sumaseba,92212
587,Hanbun no Tsuki ga Noboru Sora,41757
597,Neko no Ongaeshi,90863
617,Juubee Ninpuuchou,47771
687,Tokyo Mew Mew,46607
710,Rec,48614
721,Princess Tutu,43367
740,Bishoujo Senshi Sailor Moon R,58237
759,Tokyo Godfathers,81311
762,Bleach: Memories in the Rain,55557
777,Hellsing Ultimate,284556
790,Ergo Proxy,160820
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,82396
813,Dragon Ball Z,474333
820,Ginga Eiyuu Densetsu,41354
834,Bleach: The Sealed Sword Frenzy,51462
846,School Rumble Ni Gakki,72274
849,Suzumiya Haruhi no Yuuutsu,352567
853,Ouran Koukou Host Club,398146
855,Strawberry Panic,42522
856,Utawarerumono,51366
857,Air Gear,140665
861,xxxHOLiC,87043
874,Digimon Tamers,87082
877,Nana,128740
889,Black Lagoon,285900
894,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,53102
895,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,48347
896,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,55204
897,Dragon Ball Z Movie 04: Super Saiyajin da Son Gokuu,48792
898,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,58246
899,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,53208
900,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,49783
901,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",68045
902,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,49070
903,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,53850
904,Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,48970
905,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,59433
906,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,50314
918,Gintama,181860
934,Higurashi no Naku Koro ni,259622
936,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,85835
969,Tsubasa Chronicle 2nd Season,49316
